"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/gift-150x150.png","image/png","27224","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-4-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","4382","54","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-2-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","4462","63","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/z8ISdzDvqRgM1jXMdLBxQcljx7IxblzFC6N2CnNi-1024x272.webp","image/webp","19750","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/gift-150x150.webp","image/webp","4464","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/10/REEF_10_IN-247x296.png","image/png","31384","39","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/parf-150x150.png","image/png","23137","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/05/lom.jpg","image/jpeg","541328","1","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/reef-19-edp-100ml-parfum-classique-247x296.webp","image/webp","3944","57","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/REEF_27_IN-1-247x296.png","image/png","33768","60","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/reef-21-edp-100ml-classic-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","4772","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/summer-yellow-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","5618","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/06/REEF_06_IN-247x296.png","image/png","37960","59","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/hhh-150x150.png","image/png","19458","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/avatar-150x150.webp","image/webp","3510","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/REEF_31_IN-247x296.png","image/png","43901","111","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-1-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","4176","58","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/logo-reef-opti-150x150.png","image/png","22826","8","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/05/reeeeeeeefbanner1.jpg","image/jpeg","260551","2","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/06/REEF_02_IN-247x296.png","image/png","34469","59","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/reef-33-edp-100ml-parfum-classique-510x510-2-247x296.jpg","image/jpeg","8874","116","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/caaall-150x150.png","image/png","13605","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/logo-reef-2.png","image/png","171167","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/summer-pink-edp-100ml-perfume-reef-perfumes-uk-1-1-247x296.webp","image/webp","4604","55","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/reeeef-150x150.png","image/png","24135","112","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/05/reef-33-blanc-247x296.jpg","image/jpeg","6649","58","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/06/REEF_42_IN-247x296.png","image/png","32662","58","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/homee-150x150.png","image/png","22440","56","Indexable","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/05/reefbanner2.jpg","image/jpeg","208859","2","Indexable","",""
